date,cases,deaths,new_cases,new_deaths
2020-01-21,1,0,1.0,0.0
2020-01-22,1,0,0.0,0.0
2020-01-23,1,0,0.0,0.0
2020-01-24,2,0,1.0,0.0
2020-01-25,3,0,1.0,0.0
2020-01-26,5,0,2.0,0.0
2020-01-27,5,0,0.0,0.0
2020-01-28,5,0,0.0,0.0
2020-01-29,5,0,0.0,0.0
2020-01-30,6,0,1.0,0.0
2020-01-31,7,0,1.0,0.0
2020-02-01,8,0,1.0,0.0
2020-02-02,11,0,3.0,0.0
2020-02-03,11,0,0.0,0.0
2020-02-04,11,0,0.0,0.0
2020-02-05,12,0,1.0,0.0
2020-02-06,12,0,0.0,0.0
2020-02-07,12,0,0.0,0.0
2020-02-08,12,0,0.0,0.0
2020-02-09,12,0,0.0,0.0
2020-02-10,13,0,1.0,0.0
2020-02-11,13,0,0.0,0.0
2020-02-12,14,0,1.0,0.0
2020-02-13,15,0,1.0,0.0
2020-02-14,15,0,0.0,0.0
2020-02-15,15,0,0.0,0.0
2020-02-16,15,0,0.0,0.0
2020-02-17,25,0,10.0,0.0
2020-02-18,25,0,0.0,0.0
2020-02-19,25,0,0.0,0.0
2020-02-20,27,0,2.0,0.0
2020-02-21,30,0,3.0,0.0
2020-02-22,30,0,0.0,0.0
2020-02-23,30,0,0.0,0.0
2020-02-24,43,0,13.0,0.0
2020-02-25,45,0,2.0,0.0
2020-02-26,60,0,15.0,0.0
2020-02-27,60,0,0.0,0.0
2020-02-28,65,0,5.0,0.0
2020-02-29,70,1,5.0,1.0
2020-03-01,88,3,18.0,2.0
2020-03-02,104,6,16.0,3.0
2020-03-03,125,10,21.0,4.0
2020-03-04,161,12,36.0,2.0
2020-03-05,228,12,67.0,0.0
2020-03-06,311,15,83.0,3.0
2020-03-07,428,19,117.0,4.0
2020-03-08,547,22,119.0,3.0
2020-03-09,748,26,201.0,4.0
2020-03-10,1018,31,270.0,5.0
2020-03-11,1263,37,245.0,6.0
2020-03-12,1668,43,405.0,6.0
2020-03-13,2224,50,556.0,7.0
2020-03-14,2898,60,674.0,10.0
2020-03-15,3600,68,702.0,8.0
2020-03-16,4507,91,907.0,23.0
2020-03-17,5906,117,1399.0,26.0
2020-03-18,8350,162,2444.0,45.0
2020-03-19,12393,212,4043.0,50.0
2020-03-20,18001,275,5608.0,63.0
2020-03-21,24526,358,6525.0,83.0
2020-03-22,33063,455,8537.0,97.0
2020-03-23,43500,574,10437.0,119.0
2020-03-24,53924,769,10424.0,195.0
2020-03-25,68530,1039,14606.0,270.0
2020-03-26,85558,1345,17028.0,306.0
2020-03-27,102829,1758,17271.0,413.0
2020-03-28,123723,2287,20894.0,529.0
2020-03-29,142397,2702,18674.0,415.0
2020-03-30,163863,3356,21466.0,654.0
2020-03-31,188413,4290,24550.0,934.0
2020-04-01,215161,5315,26748.0,1025.0
2020-04-02,244619,6542,29458.0,1227.0
2020-04-03,277262,7902,32643.0,1360.0
2020-04-04,312498,9466,35236.0,1564.0
2020-04-05,337959,10828,25461.0,1362.0
2020-04-06,367568,12330,29609.0,1502.0
2020-04-07,399352,14579,31784.0,2249.0
2020-04-08,431169,16673,31817.0,2094.0
2020-04-09,465859,18772,34690.0,2099.0
2020-04-10,499325,21028,33466.0,2256.0
2020-04-11,531042,23105,31717.0,2077.0
2020-04-12,558182,24785,27140.0,1680.0
2020-04-13,583940,26547,25758.0,1762.0
2020-04-14,610615,29246,26675.0,2699.0
2020-04-15,640637,31994,30022.0,2748.0
2020-04-16,672243,34264,31606.0,2270.0
2020-04-17,703740,36626,31497.0,2362.0
2020-04-18,732121,38571,28381.0,1945.0
2020-04-19,757475,40089,25354.0,1518.0
2020-04-20,784761,41919,27286.0,1830.0
2020-04-21,810249,44587,25488.0,2668.0
2020-04-22,839017,46955,28768.0,2368.0
2020-04-23,872805,49123,33788.0,2168.0
2020-04-24,909530,51250,36725.0,2127.0
2020-04-25,943802,53210,34272.0,1960.0
2020-04-26,970409,54465,26607.0,1255.0
2020-04-27,993747,56022,23338.0,1557.0
2020-04-28,1018399,58416,24652.0,2394.0
2020-04-29,1045102,60930,26703.0,2514.0
2020-04-30,1075517,63140,30415.0,2210.0
2020-05-01,1109476,64902,33959.0,1762.0
2020-05-02,1138944,66485,29468.0,1583.0
2020-05-03,1165013,67816,26069.0,1331.0
2020-05-04,1186965,68905,21952.0,1089.0
2020-05-05,1210669,71139,23704.0,2234.0
2020-05-06,1235174,73847,24505.0,2708.0
2020-05-07,1263668,75805,28494.0,1958.0
2020-05-08,1291329,77380,27661.0,1575.0
2020-05-09,1316167,78834,24838.0,1454.0
2020-05-10,1336478,79765,20311.0,931.0
2020-05-11,1354096,80747,17618.0,982.0
2020-05-12,1376388,82400,22292.0,1653.0
2020-05-13,1397520,84168,21132.0,1768.0
2020-05-14,1424474,85906,26954.0,1738.0
2020-05-15,1450700,87499,26226.0,1593.0
2020-05-16,1474351,88724,23651.0,1225.0
2020-05-17,1493350,89568,18999.0,844.0
2020-05-18,1515177,90414,21827.0,846.0
2020-05-19,1536129,91934,20952.0,1520.0
2020-05-20,1559003,93406,22874.0,1472.0
2020-05-21,1584826,94721,25823.0,1315.0
2020-05-22,1608710,96010,23884.0,1289.0
2020-05-23,1630912,97060,22202.0,1050.0
2020-05-24,1651004,97680,20092.0,620.0
2020-05-25,1670101,98190,19097.0,510.0
2020-05-26,1688958,98937,18857.0,747.0
2020-05-27,1707719,100422,18761.0,1485.0
2020-05-28,1730190,101626,22471.0,1204.0
